#query	kegg_gene_id	KO_id	NAME	ENTRY	DEFINITION	PATHWAY_ID	PATHWAY_DESC	MODULE_ID	MODULE_DESC
gene_id_2745434	sok:D0B54_11315	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3301938	sil:SPO3449	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3172893	dsh:Dshi_0027	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4651273	suam:BOO69_16800	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4273113	oai:OLEAN_C23040	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1352823	lul:LPB138_13865	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6239712	lcd:clem_00120	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3043158	pmk:MDS_1928	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4449897	oai:OLEAN_C23040	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8904703	bsan:CHH28_13540	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5793632	paby:Ga0080574_TMP4685	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2130002	brk:CWS35_04795	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_5183022	pnp:IJ22_02300	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_186042	rhg:EXZ61_07005	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_6711723	spon:HME9304_01067	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_2529496	maru:FIU81_15260	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8463277	fla:SY85_18695	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2164773	cyq:Q91_2194	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4506413	mbah:HYN46_04630	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4662030	brk:CWS35_04795	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_2826063	tje:TJEJU_0991	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4552164	tol:TOL_1175	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7754813	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4117655	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7501212	spon:HME9304_01067	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_3926877	ocd:FHY55_14840	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5913352	rul:UC8_52230	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_2787599	hhy:Halhy_3303	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3566533	gbe:GbCGDNIH1_2420	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_7627838	for:FORMB_10180	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8524582	win:WPG_1326	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1203861	for:FORMB_10180	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1294381	suam:BOO69_05895	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_863764	win:WPG_1326	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6919152	hhy:Halhy_3303	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6797353	cid:P73_3494	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5522905	gak:X907_1562	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6941376	spon:HME9304_01067	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_6157539	pnp:IJ22_02300	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_8958330	sok:D0B54_11315	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_970305	sulz:C1J03_01805	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2282980	ptp:RCA23_c16500	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_7221133	hat:RC74_20410	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_758632	tom:BWR18_00660	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_2926976	spon:HME9304_01516	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2436842	adi:B5T_00103	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1649426	gom:D7316_02315	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_2749783	msx:AU14_05070	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2785914	lph:LPV_3385	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1248659	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2803998	cig:E7741_14315	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_6412786	suam:BOO69_05895	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6104970	psin:CAK95_02130	K23464	tgnB	K23464	flavin-dependent trigonelline monooxygenase, oxygenase component	NULL	NULL	NULL	NULL
gene_id_2341452	roh:FIU89_06770	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6401364	dok:MED134_09286	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1021200	rer:RER_21620	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2152656	suld:B5M07_01890	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3947982	pseb:EOK75_07930	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1916175	noo:FE634_00215	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3014499	mgi:Mflv_3369	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8387718	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_990158	sphy:CHN51_00370	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2117787	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8044691	tom:BWR18_15845	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1224959	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1127894	ome:OLMES_3728	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4016150	axe:P40_03400	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5815854	rfa:A3L23_00433	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_8679258	rut:FIU92_06545	K23464	tgnB	K23464	flavin-dependent trigonelline monooxygenase, oxygenase component	NULL	NULL	NULL	NULL
gene_id_1715979	alf:CFBP5473_16900	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_2743578	bic:LMTR13_01200	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_4068152	laj:A0128_05975	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6704613	bsan:CHH28_13540	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_393973	palc:A0T30_07635	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1247348	pcq:PcP3B5_31900	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4192704	pnp:IJ22_02300	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_5169437	sok:D0B54_11315	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3854714	oat:OAN307_c47130	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6686897	palc:A0T30_07635	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3652108	msq:BKP64_00375	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1319005	thin:CRN91_01165	K23464	tgnB	K23464	flavin-dependent trigonelline monooxygenase, oxygenase component	NULL	NULL	NULL	NULL
gene_id_6205926	thaa:CFI11_16135	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_203666	maru:FIU81_02135	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_933548	dok:MED134_09286	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_431694	suam:BOO69_05895	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3326273	tol:TOL_1175	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2904738	llp:GH975_01255	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_843613	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6300355	taw:EI545_11960	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_9235064	oai:OLEAN_C34450	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5995022	boo:E2K80_07810	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_2000176	suam:BOO69_16800	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7878659	brk:CWS35_04795	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_4977046	eol:Emtol_2027	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3140053	aym:YM304_10220	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_7912732	hhy:Halhy_3303	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8836287	tmp:F9Y86_05550	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4555965	foh:FORMA_10320	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4153003	lul:LPB138_13865	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3284378	zal:AZF00_15755	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6711513	tmp:F9Y86_05550	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1591295	brk:CWS35_04795	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_431815	for:FORMB_10180	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3672131	pseb:EOK75_18115	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4138261	calo:Cal7507_4482	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_4658709	lcd:clem_00120	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1716137	suam:BOO69_05895	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8902556	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_9388917	oai:OLEAN_C23040	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8786407	hat:RC74_20410	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_4407446	calo:Cal7507_1269	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_6658723	llp:GH975_01255	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_4497815	win:WPG_1326	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3239089	sagu:CDO87_01990	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6611386	bic:LMTR13_01200	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_4877650	bfn:OI25_6965	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1423629	spon:HME9304_01067	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_4432210	ceh:CEW89_07850	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2913477	pmy:Pmen_2541	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4839628	mur:EQY75_13050	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_9278994	foh:FORMA_10320	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7305258	mrm:A7982_08709	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4396	cyq:Q91_2194	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5452380	rfs:C1I64_06255	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_2895591	boo:E2K80_05025	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1165935	ndo:DDD_1421	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_142764	for:FORMB_10180	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_9559182	spon:HME9304_01516	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_670527	psee:FRP1_17660	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_9194924	ptp:RCA23_c00460	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5049735	cig:E7741_14315	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_6334037	sok:D0B54_11315	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6843691	mbah:HYN46_04630	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2515411	red:roselon_00871	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_633750	win:WPG_1326	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8178410	rhp:LPB142_11240	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1211607	oai:OLEAN_C34450	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8526122	pnp:IJ22_02300	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_9057192	hoe:IMCC20628_02571	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_9072461	mvq:MYVA_0493	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_9446232	laj:A0128_05975	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2482985	pht:BLM14_24735	K23464	tgnB	K23464	flavin-dependent trigonelline monooxygenase, oxygenase component	NULL	NULL	NULL	NULL
gene_id_2002532	lvs:LOKVESSMR4R_01987	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_4148917	con:TQ29_11915	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7459332	lap:ACP90_18310	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_7268402	oat:OAN307_c47130	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_9321112	rbz:B9057_13090	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_491561	oct:FTO60_10890	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3874866	suli:C1J05_06965	K23464	tgnB	K23464	flavin-dependent trigonelline monooxygenase, oxygenase component	NULL	NULL	NULL	NULL
gene_id_5038329	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_9104295	bstg:WT74_04805	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6426193	bic:LMTR13_29805	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_2833157	spon:HME9304_01067	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_7701569	rgi:RGI145_03760	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_3185821	win:WPG_1326	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_678744	mbah:HYN46_14535	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6261160	sedi:EBB79_03360	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_1063831	foh:FORMA_10320	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5588492	psj:PSJM300_19050	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_6063055	oho:Oweho_0550	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
